category,texts
-,เสียความรู้สึก
-,ช่างเลวจริงๆ
-,ผลงานย่ำแย่จนใกล้ตกชั้น
-,อึดอัดไม่รัก
-,ปวดหัวแท้ล้า
-,ขี้เกียจล้านตัว
-,อำลานี้ไม่เจออีกน่ะ
-,เวลาเหนื่อยนี่บ่นใครบ้าง
-,นกบ่อยขนาดนี้ควรไปตายเกิดใหม่เถอะ
-,ไม่ต่างสัตว์เดรัจฉาน
-,หยังอายคิดอาย
-,เพ้อเจ้อกคิดไปเอง มโนไปเอง
-,ถูกทัณฑ์ทรนแห่งนรก
-,ข่มขู่บีบบังคับ
-,เดี่ยวเสียทีหลัง
-,เธอมองข้าม
-,นี้ไงถึงไม่อยากให้รู้เพราะว่าวุ่นวายเเค่นี้กพอเเล้ว
-,หลอกให้รัก
-,อยู่ใกล้เอื้อไม่ไปหาไม่
-,สวยไงขนาดครีมยังขี้เกียจทา
-,เมื่อยๆๆร่างกายอ่อนเพลีย
-,เรื่องนี้บางครั้งมันเกินขอบเขตของคำว่าพอเกินไป
-,ว่างไม่อะไรทำ
-,ไม่สร้างสรรค์
-,สนุกบนความทุกข์ความไม่สบายของอื่น
-,ราคาแพงเกินไปไม่คุ้ม
-,ทรณการเมินใส่เเต่ไม่บอกเลิก
-,ชอบขี้งอนและน้อย
-,มันรู้สึกเหนื่อยจนไม่รู้ว่าระบายออกยังไง
-,ฟุ้งซ่าน
-,หิวกขี้เกียจลุกไปกิน
-,เครียดปวดหัว
-,มันเจ็บๆหัวว่ะ
-,ล้มโดนเหยียบซ้ำโดนนินทาสารพัดผิดไปหมด
-,เสือกสอบไม่ติด
-,กูโง่ขนาดนั้นหรอ
-,สอบไม่ติดเสียดาย
-,โดดเดี่ยวไม่มีใคร
-,อันตรายกกว่าคิด
-,ร้องไห้เสียการลาจาก
-,ฆ่าตัวตายจากปัญหาความเครียด
-,สังเวยชีวิต
-,น่ากลัวคือสังเวยชีวิต
-,เหี้ยกว่านั้นคือกูร้องไห้ตาม
-,เหนื่อยจนไม่อยากทำอะไรละ
-,เหมือนฟ้าผ่าฟาดกลาง
-,คือสุดยอดแห่งความห่วยแตก
-,ความกังวล
-,เจ็บ สุดๆด้วย
-,หลอกแฟนๆ ด้วยมุขเดิมๆ
-,หายหน้าหายตา ร้างราไปจากวงการตามกาลเวลา
-,ยอมแพ้ ไม่รู้ทำยังไง
-,ทุกอย่างไร้ค่า
-,หวังอะไรลมๆ แล้งๆ
-,น้ำใต้ศอก
-,ขายขี้หน้า
-,ไม่เห็นอะไร
-,ไม่รู้หวังอะไร
-,กลัวว่ามันจะไม่มีอนาคต
-,อันนี้ค่อนข้างแย่อยู่
-,ทำร้ายร่างกาย
-,ทรนเหมือนกันทำไม่
-,ฉันเสียเธอไป
-,มันยิ่งทำให้เค้าเจ็บปวด
-,เจ็บแทบตาย
-,ความหวังสุดท้ายหายไปละ
-,โคตรทรน
-,ท้อหมดแรง
-,แพ้ให้ความไม่ชัดเจน
-,ไม่พอ
-,จนไม่เงินซื้อ
-,หลอกว่ายังรักไหม
-,พลาดหลายๆอย่างสำคัญไป
-,พบการทุจริตคอรัปชั่น
-,ให้ยากกว่าเดิม
-,ไม่ความหย
