category,texts
neg,เสียความรู้สึก
neg,ช่างเลวจริงๆ
neg,ผลงานย่ำแย่จนใกล้ตกชั้น
neg,อึดอัดไม่รัก
neg,ปวดหัวแท้ล้า
neg,ขี้เกียจล้านตัว
neg,อำลานี้ไม่เจออีกน่ะ
neg,เวลาเหนื่อยนี่บ่นใครบ้าง
neg,นกบ่อยขนาดนี้ควรไปตายเกิดใหม่เถอะ
neg,ไม่ต่างสัตว์เดรัจฉาน
neg,หยังอายคิดอาย
neg,เพ้อเจ้อกคิดไปเอง มโนไปเอง
neg,ถูกทัณฑ์ทรนแห่งนรก
neg,ข่มขู่บีบบังคับ
neg,เดี่ยวเสียทีหลัง
neg,เธอมองข้าม
neg,นี้ไงถึงไม่อยากให้รู้เพราะว่าวุ่นวายเเค่นี้กพอเเล้ว
neg,หลอกให้รัก
neg,อยู่ใกล้เอื้อไม่ไปหาไม่
neg,สวยไงขนาดครีมยังขี้เกียจทา
neg,เมื่อยๆๆร่างกายอ่อนเพลีย
neg,เรื่องนี้บางครั้งมันเกินขอบเขตของคำว่าพอเกินไป
neg,ว่างไม่อะไรทำ
neg,ไม่สร้างสรรค์
neg,สนุกบนความทุกข์ความไม่สบายของอื่น
neg,ราคาแพงเกินไปไม่คุ้ม
neg,ทรณการเมินใส่เเต่ไม่บอกเลิก
neg,ชอบขี้งอนและน้อย
neg,มันรู้สึกเหนื่อยจนไม่รู้ว่าระบายออกยังไง
neg,ฟุ้งซ่าน
neg,หิวกขี้เกียจลุกไปกิน
neg,เครียดปวดหัว
neg,มันเจ็บๆหัวว่ะ
neg,ล้มโดนเหยียบซ้ำโดนนินทาสารพัดผิดไปหมด
neg,เสือกสอบไม่ติด
neg,กูโง่ขนาดนั้นหรอ
neg,สอบไม่ติดเสียดาย
neg,โดดเดี่ยวไม่มีใคร
neg,อันตรายกกว่าคิด
neg,ร้องไห้เสียการลาจาก
neg,ฆ่าตัวตายจากปัญหาความเครียด
neg,สังเวยชีวิต
neg,น่ากลัวคือสังเวยชีวิต
neg,เหี้ยกว่านั้นคือกูร้องไห้ตาม
neg,เหนื่อยจนไม่อยากทำอะไรละ
neg,เหมือนฟ้าผ่าฟาดกลาง
neg,คือสุดยอดแห่งความห่วยแตก
neg,ความกังวล
neg,เจ็บ สุดๆด้วย
neg,หลอกแฟนๆ ด้วยมุขเดิมๆ
neg,หายหน้าหายตา ร้างราไปจากวงการตามกาลเวลา
neg,ยอมแพ้ ไม่รู้ทำยังไง
neg,ทุกอย่างไร้ค่า
neg,หวังอะไรลมๆ แล้งๆ
neg,น้ำใต้ศอก
neg,ขายขี้หน้า
neg,ไม่เห็นอะไร
neg,ไม่รู้หวังอะไร
neg,กลัวว่ามันจะไม่มีอนาคต
neg,อันนี้ค่อนข้างแย่อยู่
neg,ทำร้ายร่างกาย
neg,ทรนเหมือนกันทำไม่
neg,ฉันเสียเธอไป
neg,มันยิ่งทำให้เค้าเจ็บปวด
neg,เจ็บแทบตาย
neg,ความหวังสุดท้ายหายไปละ
neg,โคตรทรน
neg,ท้อหมดแรง
neg,แพ้ให้ความไม่ชัดเจน
neg,ไม่พอ
neg,จนไม่เงินซื้อ
neg,หลอกว่ายังรักไหม
neg,พลาดหลายๆอย่างสำคัญไป
neg,พบการทุจริตคอรัปชั่น
neg,ให้ยากกว่าเดิม
neg,ไม่ความหย
neg,ออกอย่างรุนแรง
neg,ความน่ากลัว
neg,กลิ่นเหม็นจากดาวมรณะ
neg,อาคารบังอาจมองไม่เห็น
neg,เขย่าขวัญน่ากลัว
neg,ทำงานบกพร่องจนทำให้เดือดร้อน
neg,ท้อแท้หมดกำลัง
neg,อ่อนแอไร้ค่าไร้ควาหมาย
neg,เย็นชาไม่สนใคร
neg,อพยพหนีน้ำ
neg,ความทุกข์ยากลำบาก
neg,ล้อเล่นความรู้สึก
neg,สลดหนุ่มเตกคลองดับซัดเห็นมัวถ่ายรูปไม่ช่วย
neg,เสียชีวิตสลดเจ็บสาหัส
neg,น้ำป่าไหลท่วมฉับพลัน
neg,จมน้ำตายต่อหน้า
neg,สลดแม่ยักษ์ทิ้งลูกในไส้บนซากกองขยะ
neg,ขี้กลัวโดนผีหลอก
neg,ฉันตื่นสายพลาดไปไม่ทันรถ
neg,เกลียดหน้ามึงอ่ะ
neg,ของไม่ตรงตามสั่งแม่งเสียความรู้สึกควย
neg,ไม่ใครจดจำ
neg,งานท่วมหัวทำตัวเหมือนว่าง
neg,แปลกหน้าไม่ใครรู้จัก
neg,โดนเทมันทำให้พัง
neg,ยาโคตรขมไม่อร่อยรสชาติแย่
neg,ตอบยากจังว่ะตายหรือไง
neg,ผีเหี้ยไรเเม่งกูหมั่นใส้
neg,ประกาศผิด
neg,เดี๋ยวนี้ไม่ภาพเหมือนก่อนเห็นผิดบ่อยก
neg,เจอแบบนี้เสียความรู้สึก
neg,งานระดับนี้ผิดผลาดไง
neg,หมดความขลังของออสการ์
neg,ไม่รางวัลยังไม่อายขนาดนี้
neg,คอยเอาก้อนหินเขวี้ยงหเห่าตามทาง
neg,มันนินทา
neg,ผีห่าหมูหหาเรื่องนินทาอยู่
neg,อยู่เมืองดัดจริตเนี่ยมันอยู่ยากจริงเนอะ
neg,โลกร้อนเกิดจากการตัดไม้ทำลายป่า
neg,ปากทำพูดไม่รู้เรื่องอะไร
neg,เดินลำพัง
neg,ไม่ระวังจึงเกิดอุบัติเหตุ
neg,เจ็บเกินพอหรือยังเมื่อไรพอซะทีต่างต่างรู้ว่าทำไม่
neg,จากหรือจากตายสุดท้ายจากไป
neg,เหลือความทรงจำรอลืมเลือน
neg,พูดจาหมาไม่แดก
neg,มองโลกในแง่ร้าย
neg,โกรธง่ายฉุนเฉียวบ่อย
neg,สงครามความสูญเสีย
neg,รู้ตัวว่าไม่เหมือนใคร
neg,แอบอ้างหลอกลวง
neg,ตัดไม้ทำลายป่า
neg,เบื่อโรคอ้วน
neg,ล้มตกบันได
neg,พวกระยำ
neg,หมกมุ่นในเรื่องเพศกเกินไป
neg,ก่อมลพิษให้แวดล้อม
neg,ยัดเยียดข้อกล่าวหา
neg,หลบหนีเข้าโดยไม่รับอนุญาต
neg,อกหักเพราะบอกเลิก
neg,กลัวเสียมันไป
neg,ถ้ามันเสียไปกู้กลับคือไม่เหมือนเดิม
neg,หมดละมันพังไปหมดละมันไม่เหลืออะไรอีก
neg,กูปากชอบด่า
neg,มันขาดความการน้ำต่อเพื่อนมนุษย์
neg,ยากกว่าหลายเท่า
neg,เพราะผิดหวังเยอะ
neg,หลอกให้รักจากไป
neg,ร้องไห้งอแงไม่ปลอบ
neg,อย่างน้อยเพราะทำไม่ได้
neg,ข้อพิพาทยังไม่ยุติ
neg,คอมมิวนิสต์เผด็จการ
neg,ตอกย้ำความเจ็บปวด
neg,ขยะสังคมสัส
neg,ขัดผลประโยชน์
neg,แม่งมั่วซั่วไปหมด
neg,เสียสติด้วยความคลั่ง
neg,วังเวงน่าสยดสยอง
neg,เสแสร้งจอมปลอม
neg,สุดท้ายโดนหลอก
neg,เบียดเสียดเยียดยัด
neg,อันตรายถึงตาย
neg,อ่อนเพลียง่าย
neg,โดดตบหน้าเฟีย
neg,หลบหนีภาษี
neg,ก่อกรรมทำเข็ญ
neg,กดขี่เรียกค่าไถ่
neg,กักขังสงสัย
neg,กระชากหน้ากากร้าย
neg,คนร้ายหลบหนีความผิด
neg,เศรษฐกิจตกต่ำตกงาน
neg,ความรู้สึกกูเหี้ยมาก
neg,ผิดเองไม่พร้อม
pos,ชอบใครก็ชวนมาลองชิมที่คุณทำ
pos,ดูแลตัวเองก็มั่นใจในตัวเองมากขึ้นยิ้มบ่อย
pos,ไม่ขี้งอนไม่น้อยใจใครแม้แต่เพื่อนสนิท
pos,เขียนได้ดีอ่านเพลินมาก
pos,อย่าปล่อยให้อดีตทำร้ายปัจจุบัน
pos,เธอคงความสุขดีในที่ฉันความสุขเธอ
pos,ความพยายามอยู่ที่ไหนความสำเร็จอยู่ที่นั้น
pos,ดีช่วยที่กำลังจะตกจากอาคารสูงน่าชื่นชม
pos,เจริญเติบโตอย่างแข็งแกร่งและสวยงาม
pos,ตอบแทนความหวังดีด้วยการตั้งใจเรียนตั้งใจทำงาน
pos,อยากกลับไปรื้อฟื้นความทรงจำดี
pos,นับช่วงชีวิตที่ดีที่สุดแม้แค่เพียงเวลาสั้น
pos,รักให้ทำปากจู๋ขอหัวใจละดวงจุ้บ
pos,สนับสนุนส่งเสริมความสามัคคี
pos,น่ารักอ่ะอยากเดินจับมือไปจนแก่
pos,แบบโมเม้นที่ความรักรักเราทำอะไรซักอย่างให้เรามั่นใจแบบนี้ได้โคตรปลื้มใจ
pos,ไว้เจออีกทีในเวลาที่เหมาะสม
pos,จงนับถือตัวเองให้มากพอที่จะรู้ว่าคู่ควรสิ่งที่ดีที่สุด
pos,ความท้าทายสิ่งที่ทำให้ชีวิตน่าสนใจแต่การเอาชนะให้ได้สิ่งที่ทำให้ชีวิตความหมาย
pos,อนาคตของขึ้นอยู่สิ่งที่ทำในนี้ไม่ใช่พรุ่งนี้
pos,อย่าเพิ่งยอมแพ้จุดเริ่มต้นนั้นมักจะยากที่สุดเสมอ
pos,สิ่งเดียวที่แน่นอนที่สุดในชีวิตคือความเปลี่ยนแปลง
pos,ความรักชนะความรักความสงบสุข
pos,ทุกที่ประสบชัยชนะในสิ่งใดที่ทำต้องเต็มใจตั้งใจ
pos,ความปรารถนาอันร้อนแรงชัยชนะความสำเร็จ
pos,จงแน่วแน่ในการตัดสินใจแต่ให้ยืดหยุ่นการลงมือทำ
pos,ความมั่นใจมาจากการไม่กลัวที่จะทำอะไรผิด
pos,วิธีให้กำลังใจตัวเองที่ดีที่สุดคือการให้กำลังใจอื่น
pos,สิ่งนี้เกิดขึ้นจากแรงบันดาลใจ
pos,ไตร่ตรองและมองด้านบวกเข้าไว้
pos,การเริ่มต้นทำสิ่งเดิมอีกครั้งอย่างชาญฉลาดกว่าเดิม
pos,เสรีภาพบนเสรีประชาธิปไตย
pos,สุภาพเรียบร้อย
pos,เธอคือทุกอย่างในชีวิต
pos,อีกไม่นานเกินรอทุกอย่างจะดีขึ้น
pos,อยากให้เธออยู่เคียงข้างฉันอย่างนี้ทุกคืนอย่างนี้ตลอดไป
